Colonne,Description,Unité
Part conc frac [#/l] (ESD: >26 mm),Concentration particulaire dans une classe ESD (Equivalent Spherical Diameter),nombre de particules/L
Biovolume [mm3 l-1] (ESD: 0.001-0.00126 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.00126-0.00159 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.00159-0.002 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.002-0.00252 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.00252-0.00317 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.00317-0.004 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.004-0.00504 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.00504-0.00635 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.00635-0.008 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.008-0.0101 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.0101-0.0127 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.0127-0.016 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.016-0.0202 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.0202-0.0254 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.0254-0.032 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.032-0.040296 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.040296-0.0508 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.0508-0.064 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.064-0.080599 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.080599-0.102 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.102-0.128 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.128-0.161 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.161-0.203 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.203-0.256 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.256-0.323 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.323-0.406 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.406-0.512 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.512-0.645 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.645-0.813 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 0.813-1.02 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 1.02-1.29 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
